Edge Removed,EB,Next Edge To Be Removed,EB,Modularity,Community Size,Communities,Louvian,Label Propagation,Infomap,Walktrap,FastGreedy,Girvan-Newman
"(1, 36)",0.1496300225023195,"(7, 40)",0.16622073671949816,0.5278801474122736,1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]]","Clustering with 34 elements and 4 clusters
[0] 4, 5, 6, 10, 16
[1] 0, 1, 2, 3, 7, 9, 11, 12, 13, 17, 19, 21
[2] 23, 24, 25, 27, 28, 31
[3] 8, 14, 15, 18, 20, 22, 26, 29, 30, 32, 33","Clustering with 34 elements and 2 clusters
[0] 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 16, 17, 19, 21, 24, 25, 28, 31
[1] 8, 14, 15, 18, 20, 22, 23, 26, 27, 29, 30, 32, 33","Clustering with 34 elements and 3 clusters
[0] 8, 14, 15, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33
[1] 0, 1, 2, 3, 7, 9, 11, 12, 13, 17, 19, 21
[2] 4, 5, 6, 10, 16","Clustering with 34 elements and 5 clusters
[0] 0, 1, 3, 7, 11, 12, 17, 19, 21
[1] 2, 8, 9, 13, 28, 30, 31
[2] 4, 5, 6, 10, 16
[3] 14, 15, 18, 20, 22, 26, 29, 32, 33
[4] 23, 24, 25, 27","Clustering with 34 elements and 3 clusters
[0] 0, 4, 5, 6, 10, 11, 16, 19
[1] 1, 2, 3, 7, 9, 12, 13, 17, 21
[2] 8, 14, 15, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33","Clustering with 34 elements and 5 clusters
[0] 0, 1, 3, 7, 11, 12, 13, 17, 19, 21
[1] 2, 24, 25, 27, 28, 31
[2] 4, 5, 6, 10, 16
[3] 8, 14, 15, 18, 20, 22, 23, 26, 29, 30, 32, 33
[4] 9"
"(7, 40)",0.16622073671949816,"(1, 28)",0.1893657012380141,0.5326179561036959,1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]]"
"(1, 28)",0.1893657012380141,"(36, 39)",0.2811086799705657,0.5369206114398423,1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]]"
"(36, 39)",0.2811086799705657,"(7, 30)",0.23389901126548385,0.5425598335067638,1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]]"
"(7, 30)",0.23389901126548385,"(19, 30)",0.4553146483342147,0.5526437847866419,1,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]]"
"(19, 30)",0.4553146483342147,"(29, 43)",0.024787189131451427,0.5572002221367849,2,"[[0, 2, 3, 4, 8, 10, 11, 12, 14, 15, 16, 18, 20, 21, 23, 24, 28, 29, 30, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 55, 58, 59, 61], [32, 1, 22, 6, 7, 41, 39, 13, 60, 48, 17, 19, 25, 54, 9, 56, 57, 26, 27, 5, 31]]"
"(29, 43)",0.024787189131451427,"(50, 51)",0.023450051622976004,0.5629111842105263,2,"[[0, 2, 3, 4, 8, 10, 11, 12, 14, 15, 16, 18, 20, 21, 23, 24, 28, 29, 30, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 55, 58, 59, 61], [32, 1, 22, 6, 7, 41, 39, 13, 60, 48, 17, 19, 25, 54, 9, 56, 57, 26, 27, 5, 31]]"
